Kinetic_energy,Total_st_pw
1.000E-03,2.323E+02
1.500E-03,2.667E+02
2.000E-03,2.975E+02
2.500E-03,3.256E+02
3.000E-03,3.516E+02
4.000E-03,3.927E+02
5.000E-03,4.303E+02
6.000E-03,4.648E+02
7.000E-03,4.965E+02
8.000E-03,5.250E+02
9.000E-03,5.510E+02
1.000E-02,5.752E+02
1.250E-02,6.247E+02
1.500E-02,6.663E+02
1.750E-02,7.024E+02
2.000E-02,7.345E+02
2.250E-02,7.629E+02
2.500E-02,7.878E+02
2.750E-02,8.098E+02
3.000E-02,8.293E+02
3.500E-02,8.638E+02
4.000E-02,8.935E+02
4.500E-02,9.184E+02
5.000E-02,9.382E+02
5.500E-02,9.530E+02
6.000E-02,9.635E+02
6.500E-02,9.704E+02
7.000E-02,9.744E+02
7.500E-02,9.758E+02
8.000E-02,9.748E+02
8.500E-02,9.719E+02
9.000E-02,9.674E+02
9.500E-02,9.615E+02
1.000E-01,9.544E+02
1.250E-01,9.073E+02
1.500E-01,8.517E+02
1.750E-01,7.961E+02
2.000E-01,7.441E+02
2.250E-01,6.972E+02
2.500E-01,6.554E+02
2.750E-01,6.185E+02
3.000E-01,5.859E+02
3.500E-01,5.313E+02
4.000E-01,4.876E+02
4.500E-01,4.517E+02
5.000E-01,4.218E+02
5.500E-01,3.963E+02
6.000E-01,3.740E+02
6.500E-01,3.547E+02
7.000E-01,3.375E+02
7.500E-01,3.222E+02
8.000E-01,3.084E+02
8.500E-01,2.959E+02
9.000E-01,2.845E+02
9.500E-01,2.740E+02
1.000E+00,2.643E+02
1.250E+00,2.259E+02
1.500E+00,1.983E+02
1.750E+00,1.772E+02
2.000E+00,1.606E+02
2.250E+00,1.472E+02
2.500E+00,1.360E+02
2.750E+00,1.266E+02
3.000E+00,1.185E+02
3.500E+00,1.053E+02
4.000E+00,9.490E+01
4.500E+00,8.657E+01
5.000E+00,7.969E+01
5.500E+00,7.392E+01
6.000E+00,6.899E+01
6.500E+00,6.473E+01
7.000E+00,6.101E+01
7.500E+00,5.773E+01
8.000E+00,5.482E+01
8.500E+00,5.221E+01
9.000E+00,4.986E+01
9.500E+00,4.773E+01
1.000E+01,4.579E+01
1.250E+01,3.821E+01
1.500E+01,3.294E+01
1.750E+01,2.904E+01
2.000E+01,2.604E+01
2.500E+01,2.171E+01
2.750E+01,2.008E+01
3.000E+01,1.871E+01
3.500E+01,1.651E+01
4.000E+01,1.482E+01
4.500E+01,1.348E+01
5.000E+01,1.239E+01
5.500E+01,1.149E+01
6.000E+01,1.073E+01
6.500E+01,1.007E+01
7.000E+01,9.509E+00
7.500E+01,9.014E+00
8.000E+01,8.577E+00
8.500E+01,8.189E+00
9.000E+01,7.841E+00
9.500E+01,7.528E+00
1.000E+02,7.245E+00
1.250E+02,6.151E+00
1.500E+02,5.407E+00
1.750E+02,4.867E+00
2.000E+02,4.458E+00
2.250E+02,4.138E+00
2.500E+02,3.880E+00
2.750E+02,3.668E+00
3.000E+02,3.491E+00
3.500E+02,3.214E+00
4.000E+02,3.006E+00
4.500E+02,2.846E+00
5.000E+02,2.719E+00
5.500E+02,2.616E+00
6.000E+02,2.532E+00
6.500E+02,2.462E+00
7.000E+02,2.402E+00
7.500E+02,2.350E+00
8.000E+02,2.306E+00
8.500E+02,2.267E+00
9.000E+02,2.234E+00
9.500E+02,2.204E+00
1.000E+03,2.178E+00
1.500E+03,2.033E+00
2.000E+03,1.981E+00
2.500E+03,1.962E+00
3.000E+03,1.959E+00
4.000E+03,1.970E+00
5.000E+03,1.989E+00
6.000E+03,2.010E+00
7.000E+03,2.030E+00
8.000E+03,2.049E+00
9.000E+03,2.067E+00
1.000E+04,2.084E+00
